,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FECHA,,,,,,,,,,,,,,,,,,,,,,VIA,,,,,,
,,2026-02-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HOCHIMIN  LÍNEA DE TRANSMISIÓN SAN FELIPE - POD 230KV,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"TIRO

004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAY ,FALTA
,,,L,L,L,L,,,,,,,,,,,,,,,,,,,,,,,4,
,,TORRE ,T001,T002,T003,T004,,,,,,,,,,,,,,,,,,,,,,,,
,,TIPO,D6,B4,B4,D4,,,,,,,,,,,,,,,,,,,,,,,,
,,CIMENTACION,HE,Z,HE,HE,,,,,,,,,,,,,,,,,,,,,,,,
,,EXCAVACION,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,INSTALACIÓN DE HELICOIDALES,1,NA,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,ARMADO DE HIERRO,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,VACIADO DE CONCRETO,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,4,-16
,,RELLENO,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,SPT MODULOS ,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,4,-16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CUADRILLA,CRUZ,CRUZ,INST,HG,,,,,,,,,,,,,,,,,,,,,,,,
,,SELECCIÓN DE ESTRUCTURA,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,TRASLADO A CAMPO,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,4,-16
,,PREARAMADO,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,MONTAJE,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,4,-13
,,VERTICALIDAD TORSION,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,REVISIÓN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,RECIBE WSP,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,0.23529411764705882,4,-13
,,VESTIDA CONDUCTOR,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,0.23529411764705882,4,-13
,,TENDIDO CONDUCTOR,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,REGULACIÓN CONDUCTOR,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,0.23529411764705882,4,-13
,,VESTIDA OPGW IZQUIERDA,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,4,-13
,,TENDIDO OPGW  IZQUIERDO,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,REGULACIÓN OPGW IZQUIERDO ,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,0.23529411764705882,4,-13
,,ACCESORIOS OPGW IZQUIERDO,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,,VESTIDA OPGW DERECHA,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,4,-13
,,TENDIDO OPGW  DERECHO,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,REGULACIÓN OPGW DERECHO,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,0.23529411764705882,4,-13
,,ACCESORIOS OPGW DERECHO,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"TIRO

001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAY ,FALTA
,,,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,,,,,,,20,
,,TORRE ,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,,,,,,,,
,,TIPO,B5,C5,B5,B6,B4,B3,C7,B7,C2,B4,A7,A5,A5,B2,A6,A7,B2,C7,B7,B7,,,,,,,,
,,CIMENTACION,HE,HE,HE,HE,HE,HE,Z,Z,HE,Z,Z,HE,Z,Z,Z,HE,HE,HE,HE,HE,,,,,,,,
,,EXCAVACION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,INSTALACIÓN DE HELICOIDALES,1,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,,,,,,,,
,,ARMADO DE HIERRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,VACIADO DE CONCRETO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,20,0
,,RELLENO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,SPT MODULOS ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,20,0
,,,,,,,MANU,MANU,MANU,,,MANU,MANU,,,,MANU,,,,MANU,,,,,,,,,
,,CUADRILLA,HG,HG,HG,HG,HG,HG,HG,CRUZ,CRUZ,CRUZ,CRUZ,CRUZ,CRUZ,CRUZ,CRUZ,HG,HG,CRUZ,HG,HG,,,,,,,,
,,SELECCIÓN DE ESTRUCTURA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,TRASLADO A CAMPO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,20,0
,,PREARAMADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,MONTAJE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,20,3
,,VERTICALIDAD TORSION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,REVISIÓN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,1,RECIBE WSP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,20,3
,1,VESTIDA CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,20,3
,,TENDIDO CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,1,REGULACIÓN CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,20,3
,,VESTIDA OPGW IZQUIERDA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,20,3
,,TENDIDO OPGW  IZQUIERDO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,1,REGULACIÓN OPGW IZQUIERDO ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,20,3
,,ACCESORIOS OPGW IZQUIERDO,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,
,,VESTIDA OPGW DERECHA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,20,3
,,TENDIDO OPGW  DERECHO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,1,REGULACIÓN OPGW DERECHO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,20,3
,,ACCESORIOS OPGW DERECHO,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"TIRO 

002",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAY ,FALTA
,,,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,,,,23,
,,TORRE ,T026,T027,T028,T029,T030,T031,T032,T033,T034,T035,T036,T037,T038,T039,T040,T041,T042,T043,T044,T045,T046,T047,T048,,,,,
,,TIPO,B3,A6,B5,C4,B7,A7,A6,B6,B4,B4,D2,C2,A3,A3,A4,A4,A3,D5,D5,B7,A7,B7,B6,,,,,
,,CIMENTACION,HE,HE,HE,Z,HE,HE,HE,Z,Z,HE,HE,HE,HE,HE,HE,HE,Z,Z,Z,HE,HE,Z,Z,,,,,
,,EXCAVACION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,,INSTALACIÓN DE HELICOIDALES,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,,,,,
,,ARMADO DE HIERRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,,VACIADO DE CONCRETO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,23,3
,,RELLENO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,,SPT MODULOS ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,23,3
,,,,,,,,,,,MANU,,,,,,,,,,,,,,,,,,,
,,CUADRILLA,HG,HG,CRUZ,CRUZ,CRUZ,HG,HG,CRUZ,CRUZ,CRUZ,CRUZ,CRUZ,HG,CRUZ,CRUZ,CRUZ,INST,HG,HG,HG,HG,CRUZ,CXT,,,,,
,,SELECCIÓN DE ESTRUCTURA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,,TRASLADO A CAMPO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,23,3
,,PREARAMADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,,MONTAJE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,23,6
,,VERTICALIDAD TORSION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,,REVISIÓN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,1,RECIBE WSP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,23,6
,1,VESTIDA CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,23,6
,,TENDIDO CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,1,REGULACIÓN CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,23,6
,,VESTIDA OPGW IZQUIERDA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,23,6
,,TENDIDO OPGW  IZQUIERDO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,1,REGULACIÓN OPGW IZQUIERDO ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,23,6
,,ACCESORIOS OPGW IZQUIERDO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,
,,VESTIDA OPGW DERECHA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,23,6
,,TENDIDO OPGW  DERECHO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,1,REGULACIÓN OPGW DERECHO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,23,6
,,ACCESORIOS OPGW DERECHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"TIRO 

003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAY ,FALTA
,,,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,,,,,,,,,,17,
,,TORRE ,T049,T050,T051,T052,T053,T054,T055,T056,T057,T058,T059,T060,T061,T062,T063,T064,T065,PORTICO,,,,,,,,,,
,,TIPO,C5,C5,A4,B6,B7,B4,A4,A5,B3,B3,B2,A7,A60M,B5,AE,AE,D4,,,,,,,,,,,
,,CIMENTACION,Z,Z,Z,Z,Z,Z,Z,Z,HE,Z,Z,Z,Z,HE,HE,HE,HE,,,,,,,,,,,
,,EXCAVACION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,,INSTALACIÓN DE HELICOIDALES,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,,,,,,,,,,,
,,ARMADO DE HIERRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,,VACIADO DE CONCRETO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,17,-3
,,RELLENO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,,SPT MODULOS ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,17,-3
,,,MANU,MANU,MANU,MANU,MANU,MANU,MANU,MANU,,,,MANU,,,,,,,,,,,,,,,,
,,CUADRILLA,HG,HG,CRUZ,CRUZ,CRUZ,HG,HG,CRUZ,CRUZ,CRUZ,CRUZ,CRUZ,HG,CRUZ,CRUZ,CRUZ,INST,,,,,,,,,,,
,,SELECCIÓN DE ESTRUCTURA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,,TRASLADO A CAMPO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,17,-3
,,PREARAMADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,,MONTAJE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,17,0
,,VERTICALIDAD TORSION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,,REVISIÓN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,1,RECIBE WSP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,17,0
,1,VESTIDA CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,17,0
,,TENDIDO CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,1,REGULACIÓN CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,17,0
,,VESTIDA OPGW IZQUIERDA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,17,0
,,TENDIDO OPGW  IZQUIERDO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,1,REGULACIÓN OPGW IZQUIERDO ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,17,0
,,ACCESORIOS OPGW IZQUIERDO,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,,,,,,,,,,,
,,VESTIDA OPGW DERECHA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,17,0
,,TENDIDO OPGW  DERECHO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,1,REGULACIÓN OPGW DERECHO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,17,0
,,ACCESORIOS OPGW DERECHO,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
