,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T030,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T031,T31,A7,ZAPATA,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,JULIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T031,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T031,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T031,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T032,T32,A6,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,MECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T032,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T032,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T032,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T033,T33,B6,ZAPATA,1,1,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,MECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T033,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T033,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T033,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T034,T34,B4,HELICOIDAL,1,1,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T034,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T034,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T034,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T035,T35,B4,HELICOIDAL,1,1,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T035,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T035,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T035,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T036,T36,D2,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T036,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T036,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T036,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T037,T37,C2,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,,,EXCAVACION / LIBERACION ARQUEOLOGIACA /  INSTALACION MALLA SPT / COMPACTACION.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T037,,,,,,B,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T037,,,,,,C,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T037,,,,,,D,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T038,T38,A3,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T038,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T038,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T038,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T039,T39,A3,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T039,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T039,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T039,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T040,T40,A4,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T040,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T040,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T040,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T041,T41,A4,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T041,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T041,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T041,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T042,T42,A3,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T042,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T042,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T042,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T043,T43,D5,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T043,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T043,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T043,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T044,T44,D5,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T044,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T044,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T044,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T045,T45,B7,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,MECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T045,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T045,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T045,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T046,T46,A7,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T046,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T046,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T046,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T047,T47,B7,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T047,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T047,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T047,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T048,T48,B6,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T048,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T048,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T048,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T049,T49,C5,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T049,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T049,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T049,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T050,T50,C5,ZAPATA,1,1,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,Astrid,MECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T050,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T050,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T050,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T051,T51,A4,ZAPATA,1,1,A,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T051,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T051,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T051,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T052,T52,B6,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,MECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T052,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T052,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T052,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T053,T53,B7,ZAPATA,1,1,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,MECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T053,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T053,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T053,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T054,T54,B4,ZAPATA,1,1,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,J. Peña,TORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T054,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T054,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T054,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T055,T55,A4,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,Nafer Lopez,JULIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T055,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T055,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T055,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T056,T56,A4,ZAPATA,1,1,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,Astrid,MECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T056,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T056,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T056,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T057,T57,B3,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T057,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T057,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T057,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T058,T58,B3,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T058,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T058,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T058,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T059,T59,B2,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,JULIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T059,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T059,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T059,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T060,T60,A7,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,ANGEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T060,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T060,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T060,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T061,T61,A 60M,ZAPATA,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T061,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T061,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T061,,,,,,D,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T062,T62,B5,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T062,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T062,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T062,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063,T63,AE,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T064,T64,AE,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T064,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T064,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T064,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T065,T65,D,HELICOIDAL,1,1,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T065,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T065,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T065,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. MONTAJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encabezado,No TORRE,TIPO,SELECCIÓN Y CLASIFICACIÓN,,,TRANSPORTE ESTRUCTURA,,PREARMADO,,MONTAJE,,REVISIÓN,VERTICALIDAD Y TORSIÓN,ENTREGA A HMV-WSP,,,OBSERVACIONES EJECUTADO ,,,,DESCRIPCIÓN PROGRAMADO,,,,2026-02-02 00:00:00,OBSERVACIONES,EJECUTADO,PROGRAMADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T001-m,T01,D6,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,TORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T002-m,T2,B4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T003-m,T3,B4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,TORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T004-m,T4,D4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T005-m,T5,B5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T006-m,T6,C5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T007-m,T7,B5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGIUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T008-m,T8,B6,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T009-m,T9,B4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T010-m,T10,B3,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T011-m,T11,C5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HCRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T012-m,T12,B7,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T013-m,T13,C2,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T014-m,T14,B4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T015-m,T15,A7,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T016-m,T16,A5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T017-m,T17,A3,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T018-m,T18,B2,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T019-m,T19,A5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T020-m,T20,A6,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T021-m,T21,B1,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T022-m,T22,B6,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T023-m,T23,B6,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T024-m,T24,B7,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
