,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T025-m,T25,A3,,,,#N/A,,#N/A,,#N/A,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T026-m,T26,B3,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T027-m,T27,A6,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T028-m,T28,B5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T029-m,T29,C4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,INSTELEC/CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T030-m,T30,B5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T031-m,T31,A7,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T032-m,T32,A6,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T033-m,T33,B6,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T034-m,T34,B4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T035-m,T35,B4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T036-m,T36,D2,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T037-m,T37,C2,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HCRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T038-m,T38,A3,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T039-m,T39,A3,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HCRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T040-m,T40,A4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HCRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T041-m,T41,A4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HCRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T042-m,T42,A3,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,INSTELEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T043-m,T43,D5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T044-m,T44,D5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T045-m,T45,B7,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T046-m,T46,A7,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T047-m,T47,B7,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T048-m,T48,C5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T049-m,T49,C5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,TORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T050-m,T50,C5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T051-m,T51,B6,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T052-m,T52,B6,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T053-m,T53,B7,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T054-m,T54,B4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T055-m,T55,A4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T056-m,T56,A4,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T057-m,T57,B3,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T058-m,T58,B3,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T059-m,T59,B2,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T060-m,T60,A7,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T061-m,T61,A60M,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T062-m,T62,B5,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063-m,T63,AE,1,,,1,,1,,1,,1,OK,1,,,"
* FRANJA UNO (1) CUPULA.
- PRIMERA APLICACIÓN SIKACOR-60                (4.76%).
- SUGUNDA APLICACIÓN SIKACOR-60                (4.76%).
- ESMALTE URETANO NARANJA                             (4.76%)      14.28%

* FRANJA DOS (2) CUERPO COMUN.
- PRIMERA APLICACIÓN SIKACOR-60                 (4.76%).
- SUGUNDA APLICACIÓN SIKACOR-60                 (4.76%).
- ESMALTE URETANO BLANCO                                  (4.76%).        14.28%

* FRANJA TRES (3).
- PRIMERA APLICACIÓN SIKACOR-60                  (4.76%).
- SUGUNDA APLICACIÓN SIKACOR-60                  (4.76%).
- ESMALTE URETANO NARANJA                               (4.76%).       14.28%

* FRANJA CUATRO (4).
- PRIMERA APLICACIÓN SIKACOR-60                  (4.76%).
- SUGUNDA APLICACIÓN SIKACOR-60                 (4.76%).
- ESMALTE URETANO BLANCO                                  (4.76%).           14.28%

* FRANJA CINCO (5).
- PRIMERA APLICACIÓN SIKACOR-60                 (4,78%).
- SUGUNDA APLICACIÓN SIKACOR-60                (4.78%).
- ESMALTE URETANO NARANJA                              (4.78%).           14.28%

* FRANJA SEIS (6).
- PRIMERA APLICACIÓN SIKACOR-60                  (4.78%).
- SUGUNDA APLICACIÓN SIKACOR-60                 (4.78%).
- ESMALTE URETANO BANCO                                     (4.78%)      14.28%.

* FRANJA SIETE (7) EXTENSIONES.
- PRIMERA APLICACIÓN SIKACOR-60                 (4,78.0%).
- SUGUNDA APLICACIÓN SIKACOR-60                (4.78%).
- ESMALTE URETANO NARANJA                             (4.78%).       14.28%

                                              AVANCE GENERAL.     100%
",,,,Pintura de franja 5,,,,,,,,,<<<<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,
T064-m,T64,AE,1,,,1,,1,,1,,1,OK,1,,,"* FRANJA UNO (1) CUPULA.
- PRIMERA APLICACIÓN SIKACOR-60                (4.76%).
- SEUNDA APLICACIÓN SIKACOR-60                (4.76%).
- ESMALTE URETANO NARANJA                             (4.76%)      14.28%

* FRANJA DOS (2) CUERPO COMUN.
- PRIMERA APLICACIÓN SIKACOR-60                 (4.76%).
- SEGUNDA APLICACIÓN SIKACOR-60                 (4.76%).
- ESMALTE URETANO BLANCO                                 (4.76%).        14.28%

* FRANJA TRES (3).
- PRIMERA APLICACIÓN SIKACOR-60                  (4.76%).
- SEGUNDA APLICACIÓN SIKACOR-60                  (4.76%).
- ESMALTE URETANO NARANJA                               (4.76%).       14.28%

* FRANJA CUATRO (4).
- PRIMERA APLICACIÓN SIKACOR-60                  (4.76%).
- SEGUNDA APLICACIÓN SIKACOR-60                 (4.76%).
- ESMALTE URETANO BLANCO                                  (4.76%).       14.28%

* FRANJA CINCO (5).
- PRIMERA APLICACIÓN SIKACOR-60                 (2.38%).
- SEGUNDA APLICACIÓN SIKACOR-60                (2.38%).
- ESMALTE URETANO NARANJA                              (2.38%).       7.14%


* FRANJA SEIS (6).
- PRIMERA APLICACIÓN SIKACOR-60                  (0.0%).
- SEGUNDA APLICACIÓN SIKACOR-60                 (0.0%).
- ESMALTE URETANO BANCO                                     (0.0%)      0.00%.


* FRANJA SIETE (7) EXTENSIONES.
- PRIMERA APLICACIÓN SIKACOR-60                 (0.0%).
- SEGUNDA APLICACIÓN SIKACOR-60                (0.0%).
- ESMALTE URETANO NARANJA                             (0.0%).       0.00%

                                              AVANCE GENERAL.     64.26%

FRANJA 5 - APLICACION  ESMALTE NARANJA ",,,,PERSONAL PCM SUMINISTRADO A HMV PARA PINTURA AERONAUTICA EN TORRES T15 A T24.,,,,,- FECHA INIICIO ACTIVIDADES 20/10/25,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T065-m,T65,D,1,,,1,,1,,1,,1,OK,1,,,,,,,,,,,,,,CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T64,AE,,,,#N/A,,#N/A,,#N/A,,#N/A,#N/A,#N/A,,,"
* FRANJA UNO (1) CUPULA.
- PRIMERA APLICACIÓN SIKACOR-60                (4.76%).
- SUGUNDA APLICACIÓN SIKACOR-60                (4.76%).
- ESMALTE URETANO NARANJA                             (4.76%)      14.28%

* FRANJA DOS (2) CUERPO COMUN.
- PRIMERA APLICACIÓN SIKACOR-60                 (4.76%).
- SUGUNDA APLICACIÓN SIKACOR-60                 (4.76%).
- ESMALTE URETANO BLANCO                                  (4.76%).        14.28%

* FRANJA TRES (3).
- PRIMERA APLICACIÓN SIKACOR-60                  (4.76%).
- SUGUNDA APLICACIÓN SIKACOR-60                  (4.76%).
- ESMALTE URETANO NARANJA                               (4.76%).       14.28%

* FRANJA CUATRO (4).
- PRIMERA APLICACIÓN SIKACOR-60                  (4.76%).
- SUGUNDA APLICACIÓN SIKACOR-60                 (4.76%).
- ESMALTE URETANO BLANCO                                  (4,76%).           14.28%

* FRANJA CINCO (5).
- PRIMERA APLICACIÓN SIKACOR-60                 (4,76%).
- SUGUNDA APLICACIÓN SIKACOR-60                (4.76%).
- ESMALTE URETANO NARANJA                              (4.76%).           14.28%

* FRANJA SEIS (6).
- PRIMERA APLICACIÓN SIKACOR-60                  (4.76%).
- SUGUNDA APLICACIÓN SIKACOR-60                 (4.76%).
- ESMALTE URETANO BANCO                                     (4.76%)      14.28%.

* FRANJA SIETE (7) EXTENSIONES.                     (4,76%)
- PRIMERA APLICACIÓN SIKACOR-60                 (4.76%).
- SUGUNDA APLICACIÓN SIKACOR-60                (4.76%).
- ESMALTE URETANO NARANJA                             (4.76%).       14.28%

                                              AVANCE GENERAL.     100%
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGUITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONSOLIDADO,,64,,,64,,64,,64,,64,,64,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. OBRAS DE PROTECCIÓN,,,,,,,,,,,,,,,,,,,,,,,,,"OBSERVACIONES 
CONTROL DE OBRA",EJECUTADO,PROGRAMADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No TORRE,TIPO,CIMENTACIÓN,PATA,TRINCHO,,CUNETA,FILTRO,GAVIONES,DESCRIPCIÓN,,,,,,,DESCRIPCIÓN PROGRAMADO,,,2026-02-02 00:00:00,OBSERVACIONES EJECUTADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T001,D6,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T002,B4,ZAPATA,,,,,,,No se requiere ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T003,B4,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T004,D4,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T005,B5,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T006,C5,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T007,B5,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T008,B6,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T009,B4,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T010,B3,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T011,C5,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T012,B7,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T013,C2,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T014,B4,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T015,A7,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T016,A5,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T017,A3,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T018,B2,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T019,A5,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T020,A6,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T021,B1,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T022,B6,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T023,B6,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T024,B7,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T025,A3,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T026,B3,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T027,A6,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T028,B5,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T029,C4,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T030,B5,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T031,A7,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T032,A6,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T033,B6,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T034,B4,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T035,B4,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T036,D2,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T037,C2,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T038,A3,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T039,A3,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T040,A4,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T041,A4,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T042,A3,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T043,D5,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T044,D5,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T045,B7,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T046,A7,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T047,B7,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T048,C5,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T049,C5,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T050,C5,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T051,B6,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T052,B6,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T053,B7,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T054,B4,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T055,A4,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T056,A4,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T057,B3,HELICOIDALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T058,B3,ZAPATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
